id;codename;codenumber;jenis_pakan;target_gram;aktual_gram;out_gram;status_pakan;waktu_pakan;status_stok;jarak_ultrasonik;status;rssi;esp_millis;created_at;publish_type
88;NJYF1;1;pelet;50.00;51.00;1.00;berhasil;2026-07-19 04:38:58+00;HAMPIR HABIS;34.30;online;-61;152498;2026-07-19 04:39:13+00;event
89;NJYF1;1;pelet;320.00;321.00;1.00;berhasil;2026-07-19 09:45:00+00;TERSEDIA;22.40;online;-62;615848;2026-07-19 09:45:54+00;event
90;NJYF1;1;pelet;100.00;102.00;2.00;berhasil;2026-07-20 08:14:11+00;TERSEDIA;22.10;online;-51;58798;2026-07-20 08:14:25+00;event
91;NJYF1;1;pelet;10.00;10.00;0.00;tidak_selesai;2026-07-20 09:46:56+00;HABIS;54.90;online;-60;4963105;2026-07-20 09:47:22+00;event
92;NJYF1;1;pelet;320.00;202.00;118.00;tidak_selesai;2026-07-20 23:00:00+00;HABIS;41.00;online;-60;46729200;2026-07-20 23:00:43+00;event
94;NJYF1;1;pelet;320.00;321.00;1.00;berhasil;2026-07-21 08:00:00+00;TERSEDIA;19.60;online;-61;11764128;2026-07-21 08:00:53+00;event
95;NJYF1;1;pelet;320.00;322.00;2.00;berhasil;2026-07-21 23:00:00+00;TERSEDIA;29.40;online;-60;65766608;2026-07-21 23:00:55+00;event
98;NJYF1;1;pelet;320.00;319.00;1.00;berhasil;2026-07-22 08:00:00+00;TERSEDIA;28.00;online;-61;98176648;2026-07-22 08:01:04+00;event
101;NJYF1;1;pelet;320.00;319.00;1.00;berhasil;2026-07-22 23:00:00+00;TERSEDIA;28.10;online;-59;157870088;2026-07-23 00:35:56+00;event
106;NJYF1;1;pelet;320.00;320.00;0.00;berhasil;2026-07-23 08:00:00+00;TERSEDIA;23.50;online;-63;10026105;2026-07-23 08:01:04+00;event
107;NJYF1;1;pelet;320.00;101.00;219.00;tidak_selesai;2026-07-23 23:00:00+00;HABIS;180.30;online;-62;63990541;2026-07-23 23:00:27+00;event
110;NJYF1;1;pelet;320.00;0.00;320.00;dibatalkan;2026-07-24 08:00:00+00;HABIS;58.70;online;-55;26246596;2026-07-24 08:00:03+00;event
111;NJYF1;1;pelet;5.00;0.00;5.00;dibatalkan;2026-07-24 09:55:00+00;HABIS;84.80;online;-55;33146763;2026-07-24 09:55:03+00;event
112;NJYF1;1;pelet;320.00;320.00;0.00;berhasil;2026-07-24 10:06:32+00;TERSEDIA;19.40;online;-54;33890806;2026-07-24 10:07:27+00;event
113;NJYF1;1;pelet;320.00;100.00;220.00;tidak_selesai;2026-07-24 23:00:00+00;HABIS;73.60;online;-58;42165462;2026-07-24 23:00:27+00;event
114;NJYF1;1;pelet;320.00;321.00;1.00;berhasil;2026-07-25 08:00:00+00;TERSEDIA;22.70;online;-58;79996944;2026-07-25 09:30:58+00;event
115;NJYF1;1;pelet;25.00;25.00;0.00;berhasil;2026-07-25 10:15:09+00;TERSEDIA;25.80;online;-62;105876;2026-07-25 10:15:22+00;event
116;NJYF1;1;pelet;320.00;319.00;1.00;berhasil;2026-07-25 23:00:00+00;TERSEDIA;28.60;online;-59;46049180;2026-07-25 23:01:04+00;event
117;NJYF1;1;pelet;320.00;321.00;1.00;berhasil;2026-07-26 08:00:00+00;TERSEDIA;28.00;online;-70;22697443;2026-07-26 08:00:54+00;event
118;NJYF1;1;pelet;320.00;321.00;1.00;berhasil;2026-07-26 23:00:00+00;TERSEDIA;27.80;online;-56;76700804;2026-07-26 23:00:56+00;event
119;NJYF1;1;pelet;320.00;320.00;0.00;berhasil;2026-07-27 08:00:00+00;TERSEDIA;34.10;online;-57;84881;2026-07-27 08:00:46+00;event
