id;codename;codenumber;temperature;limit_low_temp;limit_high_temp;setpoint;power;mode;power_status;status;rssi;esp_millis;created_at
22112;NJYF1;1;29.20;31.00;36.00;33.50;99;manual;safe;online;-66;49928400;2026-07-20 17:01:56+00
22113;NJYF1;1;29.20;31.00;36.00;33.50;99;manual;safe;online;-66;50049006;2026-07-20 17:03:56+00
22114;NJYF1;1;29.10;31.00;36.00;33.50;99;manual;safe;online;-66;50169597;2026-07-20 17:05:57+00
22115;NJYF1;1;29.10;31.00;36.00;33.50;99;manual;safe;online;-67;50290175;2026-07-20 17:07:57+00
22116;NJYF1;1;29.10;31.00;36.00;33.50;99;manual;safe;online;-67;50410752;2026-07-20 17:09:58+00
22117;NJYF1;1;29.10;31.00;36.00;33.50;99;manual;safe;online;-67;50531338;2026-07-20 17:11:59+00
22118;NJYF1;1;29.10;31.00;36.00;33.50;99;manual;safe;online;-67;50651923;2026-07-20 17:13:59+00
22119;NJYF1;1;29.00;31.00;36.00;33.50;99;manual;safe;online;-66;50772517;2026-07-20 17:16:00+00
22120;NJYF1;1;29.00;31.00;36.00;33.50;99;manual;safe;online;-66;50893094;2026-07-20 17:18:00+00
22121;NJYF1;1;28.90;31.00;36.00;33.50;99;manual;safe;online;-67;51013676;2026-07-20 17:20:01+00
22122;NJYF1;1;29.00;31.00;36.00;33.50;99;manual;safe;online;-67;51134257;2026-07-20 17:22:01+00
22123;NJYF1;1;28.90;31.00;36.00;33.50;99;manual;safe;online;-67;51254844;2026-07-20 17:24:02+00
22124;NJYF1;1;28.90;31.00;36.00;33.50;99;manual;safe;online;-66;51375432;2026-07-20 17:26:03+00
22125;NJYF1;1;28.80;31.00;36.00;33.50;99;manual;safe;online;-67;51496024;2026-07-20 17:28:03+00
22126;NJYF1;1;28.80;31.00;36.00;33.50;99;manual;safe;online;-67;51616606;2026-07-20 17:30:04+00
22127;NJYF1;1;28.80;31.00;36.00;33.50;99;manual;safe;online;-68;51737180;2026-07-20 17:32:04+00
22128;NJYF1;1;28.70;31.00;36.00;33.50;99;manual;safe;online;-67;51857787;2026-07-20 17:34:05+00
22129;NJYF1;1;28.70;31.00;36.00;33.50;99;manual;safe;online;-66;51978380;2026-07-20 17:36:06+00
22130;NJYF1;1;28.70;31.00;36.00;33.50;99;manual;safe;online;-68;52098970;2026-07-20 17:38:06+00
22131;NJYF1;1;28.70;31.00;36.00;33.50;99;manual;safe;online;-69;52219538;2026-07-20 17:40:07+00
22132;NJYF1;1;28.70;31.00;36.00;33.50;99;manual;safe;online;-67;52340141;2026-07-20 17:42:07+00
22133;NJYF1;1;28.60;31.00;36.00;33.50;99;manual;safe;online;-67;52460719;2026-07-20 17:44:08+00
22134;NJYF1;1;28.60;31.00;36.00;33.50;99;manual;safe;online;-67;52581312;2026-07-20 17:46:09+00
22135;NJYF1;1;28.60;31.00;36.00;33.50;99;manual;safe;online;-66;52701907;2026-07-20 17:48:09+00
22136;NJYF1;1;28.60;31.00;36.00;33.50;99;manual;safe;online;-67;52822491;2026-07-20 17:50:10+00
22137;NJYF1;1;28.60;31.00;36.00;33.50;99;manual;safe;online;-66;52943065;2026-07-20 17:52:10+00
22138;NJYF1;1;28.50;31.00;36.00;33.50;99;manual;safe;online;-66;53063660;2026-07-20 17:54:11+00
22139;NJYF1;1;28.50;31.00;36.00;33.50;99;manual;safe;online;-66;53184237;2026-07-20 17:56:11+00
22140;NJYF1;1;28.50;31.00;36.00;33.50;99;manual;safe;online;-67;53304820;2026-07-20 17:58:12+00
22141;NJYF1;1;28.50;31.00;36.00;33.50;99;manual;safe;online;-67;53425409;2026-07-20 18:00:13+00
22142;NJYF1;1;28.60;31.00;36.00;33.50;99;manual;safe;online;-66;53545976;2026-07-20 18:02:13+00
22143;NJYF1;1;28.60;31.00;36.00;33.50;99;manual;safe;online;-67;53666572;2026-07-20 18:04:14+00
