id;codename;codenumber;temperature;limit_low_temp;limit_high_temp;setpoint;power;mode;power_status;status;rssi;esp_millis;created_at
6253;NJYF1;1;28.00;31.00;36.00;33.50;99;manual;safe;online;-62;56077355;2026-06-18 17:00:23+00
6254;NJYF1;1;28.00;31.00;36.00;33.50;99;manual;safe;online;-62;56197959;2026-06-18 17:02:24+00
6255;NJYF1;1;27.90;31.00;36.00;33.50;99;manual;safe;online;-62;56318563;2026-06-18 17:04:25+00
6256;NJYF1;1;28.00;31.00;36.00;33.50;99;manual;safe;online;-63;56439176;2026-06-18 17:06:25+00
6257;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-63;56559787;2026-06-18 17:08:26+00
6258;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-63;56680409;2026-06-18 17:10:26+00
6259;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-62;56801017;2026-06-18 17:12:27+00
6260;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-63;56921621;2026-06-18 17:14:27+00
6261;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-62;57042219;2026-06-18 17:16:28+00
6262;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-64;57162817;2026-06-18 17:18:29+00
6263;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-63;57283419;2026-06-18 17:20:29+00
6264;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-63;57404022;2026-06-18 17:22:30+00
6265;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-63;57524636;2026-06-18 17:24:30+00
6266;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-63;57645244;2026-06-18 17:26:31+00
6267;NJYF1;1;28.30;31.00;36.00;33.50;99;manual;safe;online;-63;57765852;2026-06-18 17:28:32+00
6268;NJYF1;1;28.30;31.00;36.00;33.50;99;manual;safe;online;-63;57886477;2026-06-18 17:30:32+00
6269;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-63;58007074;2026-06-18 17:32:33+00
6270;NJYF1;1;28.30;31.00;36.00;33.50;99;manual;safe;online;-63;58127678;2026-06-18 17:34:33+00
6271;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-62;58248291;2026-06-18 17:36:34+00
6272;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-62;58368893;2026-06-18 17:38:35+00
6273;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-62;58489484;2026-06-18 17:40:35+00
6274;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-62;58610086;2026-06-18 17:42:36+00
6275;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-63;58730672;2026-06-18 17:44:36+00
6276;NJYF1;1;28.30;31.00;36.00;33.50;99;manual;safe;online;-62;58851263;2026-06-18 17:46:37+00
6277;NJYF1;1;28.40;31.00;36.00;33.50;99;manual;safe;online;-62;58971844;2026-06-18 17:48:38+00
6278;NJYF1;1;28.40;31.00;36.00;33.50;99;manual;safe;online;-63;59092434;2026-06-18 17:50:38+00
6279;NJYF1;1;28.40;31.00;36.00;33.50;99;manual;safe;online;-62;59213027;2026-06-18 17:52:39+00
6280;NJYF1;1;28.40;31.00;36.00;33.50;99;manual;safe;online;-63;59333627;2026-06-18 17:54:39+00
6281;NJYF1;1;28.40;31.00;36.00;33.50;99;manual;safe;online;-62;59454220;2026-06-18 17:56:40+00
6282;NJYF1;1;28.40;31.00;36.00;33.50;99;manual;safe;online;-62;59574809;2026-06-18 17:58:41+00
6283;NJYF1;1;28.40;31.00;36.00;33.50;99;manual;safe;online;-62;59695403;2026-06-18 18:00:41+00
6284;NJYF1;1;28.30;31.00;36.00;33.50;99;manual;safe;online;-63;59816003;2026-06-18 18:02:42+00
6285;NJYF1;1;28.30;31.00;36.00;33.50;99;manual;safe;online;-63;59936597;2026-06-18 18:04:42+00
6286;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-62;60057207;2026-06-18 18:06:43+00
6287;NJYF1;1;28.20;31.00;36.00;33.50;99;manual;safe;online;-62;60177805;2026-06-18 18:08:44+00
6288;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-63;60298406;2026-06-18 18:10:44+00
6289;NJYF1;1;28.00;31.00;36.00;33.50;99;manual;safe;online;-62;60418988;2026-06-18 18:12:45+00
6290;NJYF1;1;28.00;31.00;36.00;33.50;99;manual;safe;online;-63;60539580;2026-06-18 18:14:45+00
6291;NJYF1;1;27.90;31.00;36.00;33.50;99;manual;safe;online;-62;60660178;2026-06-18 18:16:46+00
6292;NJYF1;1;27.90;31.00;36.00;33.50;99;manual;safe;online;-63;60780765;2026-06-18 18:18:46+00
6293;NJYF1;1;28.00;31.00;36.00;33.50;99;manual;safe;online;-63;60901362;2026-06-18 18:20:47+00
6294;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-62;61021962;2026-06-18 18:22:48+00
6295;NJYF1;1;28.00;31.00;36.00;33.50;99;manual;safe;online;-62;61142545;2026-06-18 18:24:48+00
6296;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-63;61263139;2026-06-18 18:26:49+00
6297;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-62;61383743;2026-06-18 18:28:49+00
6298;NJYF1;1;28.10;31.00;36.00;33.50;99;manual;safe;online;-62;61504333;2026-06-18 18:30:50+00
6299;NJYF1;1;28.00;31.00;36.00;33.50;99;manual;safe;online;-62;61624920;2026-06-18 18:32:51+00
6300;NJYF1;1;28.00;31.00;36.00;33.50;99;manual;safe;online;-62;61745526;2026-06-18 18:34:51+00
6301;NJYF1;1;27.90;31.00;36.00;33.50;99;manual;safe;online;-62;61866122;2026-06-18 18:36:52+00
6302;NJYF1;1;27.90;31.00;36.00;33.50;99;manual;safe;online;-62;61986724;2026-06-18 18:38:52+00
6303;NJYF1;1;27.90;31.00;36.00;33.50;99;manual;safe;online;-61;62107331;2026-06-18 18:40:53+00
6304;NJYF1;1;27.80;31.00;36.00;33.50;99;manual;safe;online;-62;62228914;2026-06-18 18:42:55+00
6305;NJYF1;1;27.80;31.00;36.00;33.50;99;manual;safe;online;-61;62349495;2026-06-18 18:44:55+00
6306;NJYF1;1;27.80;31.00;36.00;33.50;99;manual;safe;online;-62;62470089;2026-06-18 18:46:56+00
6307;NJYF1;1;27.70;31.00;36.00;33.50;99;manual;safe;online;-63;62590675;2026-06-18 18:48:56+00
6308;NJYF1;1;27.70;31.00;36.00;33.50;99;manual;safe;online;-62;62711290;2026-06-18 18:50:57+00
