codename;codenumber;temperature;power;mode;power_status;status;rssi;waktu_wib
NJYF1;1;26.60;99;manual;safe;online;-64;11-06-2026 00:01:45
NJYF1;1;26.60;99;manual;safe;online;-64;11-06-2026 00:03:45
NJYF1;1;26.60;99;manual;safe;online;-64;11-06-2026 00:05:46
NJYF1;1;26.50;99;manual;safe;online;-64;11-06-2026 00:07:47
NJYF1;1;26.50;99;manual;safe;online;-65;11-06-2026 00:09:47
NJYF1;1;26.40;99;manual;safe;online;-65;11-06-2026 00:11:48
NJYF1;1;26.30;99;manual;safe;online;-65;11-06-2026 00:13:48
NJYF1;1;26.30;99;manual;safe;online;-64;11-06-2026 00:15:49
NJYF1;1;26.20;99;manual;safe;online;-65;11-06-2026 00:17:50
NJYF1;1;26.20;99;manual;safe;online;-64;11-06-2026 00:19:50
NJYF1;1;26.20;99;manual;safe;online;-64;11-06-2026 00:21:51
NJYF1;1;26.20;99;manual;safe;online;-64;11-06-2026 00:23:51
NJYF1;1;26.20;99;manual;safe;online;-64;11-06-2026 00:25:52
NJYF1;1;26.10;99;manual;safe;online;-64;11-06-2026 00:27:52
NJYF1;1;26.20;99;manual;safe;online;-64;11-06-2026 00:29:53
NJYF1;1;26.20;99;manual;safe;online;-65;11-06-2026 00:31:54
NJYF1;1;26.20;99;manual;safe;online;-64;11-06-2026 00:33:54
NJYF1;1;26.10;99;manual;safe;online;-65;11-06-2026 00:35:55
NJYF1;1;26.00;99;manual;safe;online;-65;11-06-2026 00:37:55
NJYF1;1;26.00;99;manual;safe;online;-65;11-06-2026 00:39:56
NJYF1;1;26.00;99;manual;safe;online;-64;11-06-2026 00:41:57
NJYF1;1;26.00;99;manual;safe;online;-64;11-06-2026 00:43:57
NJYF1;1;26.00;99;manual;safe;online;-64;11-06-2026 00:45:58
NJYF1;1;26.00;99;manual;safe;online;-64;11-06-2026 00:47:58
NJYF1;1;26.00;99;manual;safe;online;-65;11-06-2026 00:49:59
NJYF1;1;26.00;99;manual;safe;online;-65;11-06-2026 00:51:59
NJYF1;1;26.10;99;manual;safe;online;-64;11-06-2026 00:54:00
NJYF1;1;26.20;99;manual;safe;online;-64;11-06-2026 00:56:01
NJYF1;1;26.20;99;manual;safe;online;-65;11-06-2026 00:58:01
NJYF1;1;26.20;99;manual;safe;online;-65;11-06-2026 01:00:02
NJYF1;1;26.20;99;manual;safe;online;-64;11-06-2026 01:02:02
NJYF1;1;26.30;99;manual;safe;online;-65;11-06-2026 01:04:03
NJYF1;1;26.20;99;manual;safe;online;-65;11-06-2026 01:06:04
NJYF1;1;26.20;99;manual;safe;online;-65;11-06-2026 01:08:04
NJYF1;1;26.10;99;manual;safe;online;-64;11-06-2026 01:10:05
NJYF1;1;26.10;99;manual;safe;online;-65;11-06-2026 01:12:05
NJYF1;1;26.00;99;manual;safe;online;-65;11-06-2026 01:14:06
NJYF1;1;26.00;99;manual;safe;online;-64;11-06-2026 01:16:07
NJYF1;1;26.00;99;manual;safe;online;-65;11-06-2026 01:18:07
NJYF1;1;26.00;99;manual;safe;online;-66;11-06-2026 01:20:08
NJYF1;1;26.00;99;manual;safe;online;-65;11-06-2026 01:22:08
NJYF1;1;26.00;99;manual;safe;online;-65;11-06-2026 01:24:09
NJYF1;1;26.00;99;manual;safe;online;-66;11-06-2026 01:26:10
NJYF1;1;25.90;99;manual;safe;online;-65;11-06-2026 01:28:10
