temperature;waktu
32.50;11-05-2026 15:08:11
32.90;11-05-2026 19:18:56
32.70;11-05-2026 19:28:55
32.70;11-05-2026 19:47:29
28.00;12-05-2026 07:40:05
28.10;12-05-2026 07:50:05
28.40;12-05-2026 08:00:06
28.70;12-05-2026 08:10:06
28.90;12-05-2026 08:20:06
29.50;12-05-2026 08:30:06
29.80;12-05-2026 08:40:06
30.10;12-05-2026 08:50:07
30.50;12-05-2026 09:00:07
30.90;12-05-2026 09:10:08
31.20;12-05-2026 09:20:08
31.70;12-05-2026 09:30:08
32.10;12-05-2026 09:40:08
32.40;12-05-2026 09:50:08
32.60;12-05-2026 10:00:08
32.90;12-05-2026 10:10:09
33.10;12-05-2026 10:20:09
33.60;12-05-2026 10:30:09
34.20;12-05-2026 10:40:09
34.30;12-05-2026 10:50:09
34.70;12-05-2026 11:00:09
34.20;12-05-2026 11:10:09
35.00;12-05-2026 11:20:10
35.50;12-05-2026 11:30:10
35.80;12-05-2026 11:40:10
35.80;12-05-2026 11:50:10
36.10;12-05-2026 12:00:10
36.40;12-05-2026 12:10:11
36.60;12-05-2026 12:20:11
36.80;12-05-2026 12:30:11
36.50;12-05-2026 12:40:11
36.60;12-05-2026 12:50:11
36.50;12-05-2026 13:00:12
36.60;12-05-2026 13:10:12
37.10;12-05-2026 13:20:13
37.00;12-05-2026 13:30:14
37.00;12-05-2026 13:40:14
36.00;12-05-2026 13:50:14
37.10;12-05-2026 14:00:15
37.60;12-05-2026 14:10:15
37.40;12-05-2026 14:20:15
37.10;12-05-2026 14:30:15
37.40;12-05-2026 14:40:15
37.50;12-05-2026 14:50:15
37.40;12-05-2026 15:00:16
37.50;12-05-2026 15:10:16
37.40;12-05-2026 15:20:16
37.20;12-05-2026 15:30:16
36.90;12-05-2026 15:40:16
36.70;12-05-2026 15:50:17
36.70;12-05-2026 16:00:17
36.50;12-05-2026 16:10:18
36.00;12-05-2026 16:20:18
35.90;12-05-2026 16:30:18
35.80;12-05-2026 16:40:18
35.60;12-05-2026 16:50:18
35.30;12-05-2026 17:00:19
35.00;12-05-2026 17:10:19
34.70;12-05-2026 17:20:19
34.40;12-05-2026 17:30:20
30.40;12-05-2026 21:32:35
32.50;12-05-2026 21:39:01
30.30;12-05-2026 21:42:35
30.50;12-05-2026 21:52:35
30.30;12-05-2026 22:02:36
30.20;12-05-2026 22:12:36
30.20;12-05-2026 22:22:36
29.90;12-05-2026 22:32:36
30.10;12-05-2026 22:42:36
30.00;12-05-2026 22:52:37
29.90;12-05-2026 23:02:37
29.80;12-05-2026 23:12:38
29.70;12-05-2026 23:22:38
29.50;12-05-2026 23:32:38
29.70;12-05-2026 23:42:38
29.50;12-05-2026 23:52:39
29.50;13-05-2026 00:02:39
29.50;13-05-2026 00:12:39
29.10;13-05-2026 00:22:39
29.20;13-05-2026 00:32:39
29.20;13-05-2026 00:42:40
29.20;13-05-2026 00:52:40
29.20;13-05-2026 01:02:40
28.90;13-05-2026 01:12:40
29.00;13-05-2026 01:22:40
28.90;13-05-2026 01:32:40
28.60;13-05-2026 01:42:40
28.70;13-05-2026 01:52:41
29.00;13-05-2026 02:02:41
28.90;13-05-2026 02:12:41
28.80;13-05-2026 02:22:41
28.60;13-05-2026 02:32:41
28.70;13-05-2026 02:42:42
28.70;13-05-2026 02:52:42
28.60;13-05-2026 03:02:42
28.50;13-05-2026 03:12:42
28.40;13-05-2026 03:22:43
28.60;13-05-2026 03:32:43
28.20;13-05-2026 03:42:43
28.10;13-05-2026 03:52:43
28.20;13-05-2026 04:02:44
28.00;13-05-2026 04:12:44
28.00;13-05-2026 04:22:44
27.60;13-05-2026 04:32:45
27.90;13-05-2026 04:42:45
27.60;13-05-2026 04:52:46
27.60;13-05-2026 05:02:47
27.60;13-05-2026 05:12:47
27.80;13-05-2026 05:22:47
27.60;13-05-2026 05:32:47
27.50;13-05-2026 05:42:48
27.50;13-05-2026 05:52:48
27.30;13-05-2026 06:02:49
27.20;13-05-2026 06:12:49
27.30;13-05-2026 06:22:49
27.30;13-05-2026 06:32:49
27.30;13-05-2026 06:42:49
27.20;13-05-2026 06:52:50
27.20;13-05-2026 07:02:50
27.70;13-05-2026 07:12:50
27.90;13-05-2026 07:22:50
28.10;13-05-2026 07:32:50
